id,fecha,tema1,tema2,tema3,tema4,dificultad1,dificultad2,dificultad3,descripcion,historial
2200052,10-nov-22,Paridad,Números,Cifras,,2,4,,Mathematical Circles (Russia Experience) Cap 1,Hoja de registro noviembre-diciembre  2022
2200051,10-nov-22,Paridad,,,,1,2,,Mathematical Circles (Russia Experience) Cap 1,
2200050,12-sep-22,Invariantes,Paridad,,,3,,,Arthur Engel - Problem Solving Strategies Cap 1,
2200049,12-sep-22,Invariantes,Congruencias,,,2,,,Arthur Engel - Problem Solving Strategies Cap 1,Hoja de registro noviembre-diciembre  2022
2200048,12-sep-22,Grafos,Invariantes,Algoritmos,,9,,,Arthur Engel - Problem Solving Strategies Cap 1,
2200047,12-sep-22,Invariantes,Congruencias,,,3,,,Arthur Engel - Problem Solving Strategies Cap 1,Hoja 28/10/22
2200046,5-sep-22,Planimetría,,,,5,,,"Berkeley Math Circle Monthly Contest 2, 2018",Hoja de registro noviembre-diciembre  2022
2200045,28-feb-22,Planimetría,,,,5,,,problems.ru 58059,
2200044,28-ago-22,Inducción,Planimetría,,,6,,,Problems.ru 58311, 
2200043,28-ago-22,Inducción,Planimetría,Coloración ,,4,,,problems.ru 35409,"Hoja de inducción, Hoja 28/10/22"
2200042,28-ago-22,Inducción,Planimetría,,,4,,,problems.ru 78292,"Hoja de inducción, Hoja 28/10/22"
2200041,28-ago-22,Inducción,Planimetría,Coloración ,,3,,,problems.ru 34930,"Hoja de inducción, Hoja 28/10/22"
2200040,28-ago-22,Inducción,Planimetría,Semejanza,,5,,,problems.ru 58309,"Hoja de inducción, Hoja 28/10/22"
2200039,25-ago-22,Aritmética,,,,4,4,,"Berkeley Math Circle Monthly Contest 5, 2020",
2200038,25-ago-22,Combinatoria,,,,3,4,,"Berkeley Math Circle Monthly Contest 7, 2020",Hoja de registro noviembre-diciembre  2022
2200037,25-ago-22,Ecuaciones sobre los reales,Principio del Palomar,,,3,4,,"Berkeley Math Circle Monthly Contest 7, 2020",Hoja de registro noviembre-diciembre  2022
2200036,25-ago-22,Aritmética Modular,,,,1,2,,"Berkeley Math Circle Monthly Contest 2, 2020",
2200035,25-ago-22,Aritmética,,,,6,4,,"Berkeley Math Circle Monthly Contest 2, 2019",
2200034,25-ago-22,Lógica,Pesas,,,3,,,Problems.ru 66325,"Prueba 30/09/22, Hoja 14/10/22"
2200033,25-ago-22,Planimetría,,,,3,,,problems.ru 52645,"Prueba 07/10/2022, Hoja 14/10/22"
2200032,25-ago-22,Planimetría,Construcción de ejemplos,,,3,,,problems.ru 116795,"Prueba 30/09/22, Hoja 14/10/22"
2200031,25-ago-22,Planimetría,Angulos,,,3,,,problems.ru 32007,"Prueba 23/09/2022, Hoja 14/10/22"
2200030,23-jul-22,Construcción de ejemplos,,,,4,,,problems.ru 66192,Prueba 07/10/2022
